xData,yData
0.0,-513.6709374934435
1.0,-512.1773915737867
2.0,-511.5791715681553
3.0,-495.9465138286352
4.0,-511.77577152848244
5.0,-511.54289342463017
6.0,-511.43915839493275
7.0,-511.7475764453411
8.0,-521.805079728365
9.0,-498.15690725147726
10.0,-410.77454672455787
11.0,-475.69415697455406
12.0,-470.6834242194891
13.0,-523.3688672631979
14.0,-521.0624912381172
15.0,-519.0944365411997
16.0,-522.582698687911
17.0,-467.4603634387255
18.0,-514.3803150951862
19.0,-400.8084979325533
20.0,-422.83321348726747
21.0,-425.1098187148571
22.0,-513.2913091778755
23.0,-420.5926999509335
24.0,-408.45414899885657
25.0,-468.508189176023
26.0,-365.39648607075213
27.0,-418.47885946333406
28.0,-440.91912432312967
29.0,-433.34333237707614
30.0,-422.1062634766102
31.0,-535.4690463840961
32.0,-463.16951885223386
33.0,-440.33482318520544
34.0,-472.276206561923
35.0,-388.4844355970621
36.0,-427.81567618846896
37.0,-521.791421175003
38.0,-474.7159392118454
39.0,-473.0214689552784
40.0,-522.0523656904697
41.0,-475.59296950995923
42.0,-527.1937073767185
43.0,-520.5021217465401
44.0,-483.0198327422142
45.0,-522.0625697076321
46.0,-528.4521720558405
47.0,-524.5362551510334
48.0,-472.3322714805603
49.0,-517.5934452563524
50.0,-475.9507445633411
51.0,-524.1095343232155
52.0,-525.273775011301
53.0,-524.592401906848
54.0,-515.5328841507435
55.0,-528.4958958625793
56.0,-527.0521986484528
57.0,-523.7308972328901
58.0,-524.8611053079367
59.0,-520.9826117753983
60.0,-519.7074417769909
61.0,-520.3099254518747
62.0,-519.2153978347778
63.0,-520.5670115351677
64.0,-498.5757283091545
65.0,-522.7663660049438
66.0,-526.7055916786194
67.0,-519.4770866632462
68.0,-518.5316122323275
69.0,-463.16179103553293
70.0,-517.0313761383295
71.0,-519.7306196391582
72.0,-515.7356417924166
73.0,-473.98169414401053
74.0,-516.9540061801672
75.0,-528.4727264940739
76.0,-524.2663034051657
77.0,-528.8013818860054
78.0,-481.68024968504903
79.0,-469.7733787506819
80.0,-521.6278141736984
81.0,-533.961498439312
82.0,-486.8607366755605
83.0,-462.9294383972883
84.0,-523.5501529276371
85.0,-527.3560959100723
86.0,-423.0510413348675
87.0,-523.384674564004
88.0,-518.7508431822062
89.0,-488.7919268935919
90.0,-513.5997692495584
91.0,-470.67610804736614
92.0,-520.7668599486351
93.0,-518.6695709824562
94.0,-477.15856406241653
95.0,-495.30943835377695
96.0,-519.5778784155846
97.0,-439.85217190384867
98.0,-479.15020018219946
99.0,-516.674936413765
100.0,-517.2603686898947
101.0,-416.91805597543714
102.0,-463.4382693439722
103.0,-521.4448798447847
104.0,-517.7766503021121
105.0,-521.3742336630821
106.0,-527.1142416447401
107.0,-400.67101108133795
108.0,-526.7625389248133
109.0,-518.3296220749617
110.0,-470.7058978676796
111.0,-427.515994310379
112.0,-313.2478891819716
113.0,-477.68451191186904
114.0,-524.7674313932657
115.0,-392.092504824698
116.0,-483.16940558850763
117.0,-426.71823435425756
118.0,-413.78319753110407
119.0,-493.970678666234
120.0,-480.5283405840397
121.0,-425.989665004611
122.0,-520.185031965375
123.0,-379.9926594272256
124.0,-470.87326633930206
125.0,-472.86483190059664
126.0,-428.25272743850945
127.0,-374.8820394635201
128.0,-469.1919834330678
129.0,-471.86241464316845
130.0,-366.6997127726674
131.0,-463.91316350251435
132.0,-401.10099128782747
133.0,-358.6355231747031
134.0,-283.3681223601103
135.0,-405.4853563040495
136.0,-363.6233774572611
137.0,-310.1458852678537
138.0,-400.62116134911776
139.0,-368.51394302546976
140.0,-503.99640507400034
141.0,-466.5163745611906
142.0,-400.3807321682572
143.0,-433.43010642677547
144.0,-214.45728673934937
145.0,-265.14986281692984
