xData,yData
0.0,-513.6441260576248
1.0,-512.2227169573307
2.0,-514.590273797512
3.0,-512.0718963444233
4.0,-512.6863941550255
5.0,-512.0749443769455
6.0,-511.6757810115814
7.0,-512.31534704566
8.0,-517.7654057741165
9.0,-517.6624894142151
10.0,-512.3342774808407
11.0,-517.3580542206764
12.0,-511.6991654038429
13.0,-510.7193723320961
14.0,-511.1045613884926
15.0,-513.365350663662
16.0,-515.4903739690781
17.0,-509.5248222351074
18.0,-508.7416335940361
19.0,-511.4363044500351
20.0,-511.34163439273834
21.0,-511.3174542784691
22.0,-515.0225073099136
23.0,-511.7989309132099
24.0,-511.51136085391045
25.0,-510.0367300212383
26.0,-512.7028360962868
27.0,-511.30522564053535
28.0,-508.6344577372074
29.0,-512.1205784380436
30.0,-511.3702952861786
31.0,-511.0647067427635
32.0,-352.0
33.0,-510.1480521261692
34.0,-511.9482420384884
35.0,-513.3469894528389
36.0,-511.37642189860344
37.0,-511.7768660187721
38.0,-513.0853071808815
39.0,-513.3482575416565
40.0,-512.0728135108948
41.0,-511.63054183125496
42.0,-512.0990447700024
43.0,-512.8627955913544
44.0,-510.3945806622505
45.0,-512.2406050562859
46.0,-511.7642976343632
47.0,-512.3113200068474
48.0,-511.70089542865753
49.0,-510.68082079291344
50.0,-510.5827368795872
51.0,-511.76299154758453
52.0,-511.05758771300316
53.0,-512.4029412865639
54.0,-512.2769325971603
55.0,-512.2964292764664
56.0,-508.8632255792618
57.0,-511.93255111575127
58.0,-512.4099142849445
59.0,-511.8436239659786
60.0,-511.5516386926174
61.0,-511.66339591145515
62.0,-508.9489817619324
63.0,-511.4604890346527
64.0,-511.36327013373375
65.0,-512.1617347002029
66.0,-511.23001947999
67.0,-511.41106337308884
68.0,-512.1294662356377
69.0,-512.4715246260166
70.0,-511.31751611828804
71.0,-511.11759319901466
72.0,-511.6370879113674
73.0,-511.4719569683075
74.0,-511.6382025182247
75.0,-511.89374551177025
76.0,-518.4030041098595
77.0,-511.7107905447483
78.0,-506.88956156373024
79.0,-511.3963060081005
80.0,-511.9550622999668
81.0,-511.1955717206001
82.0,-511.39079108834267
83.0,-507.4034206569195
84.0,-504.64454740285873
85.0,-512.4314241111279
86.0,-524.0916386246681
87.0,-531.940695643425
88.0,-556.0539543628693
89.0,-546.9436913728714
90.0,-510.57952120900154
91.0,-549.1516530513763
92.0,-271.0
93.0,-521.3235452771187
94.0,-553.6916375160217
95.0,-516.7155534029007
96.0,-525.3955274820328
97.0,-515.8973172307014
98.0,-510.78359484672546
99.0,-507.03072249889374
100.0,-547.5139617919922
101.0,-24.0
102.0,-511.0510192811489
103.0,-512.2623853385448
104.0,-539.6824300289154
105.0,-37.0
106.0,-516.5585219860077
107.0,-515.4979258775711
108.0,-386.0
109.0,-518.1792229413986
110.0,-523.1005564332008
111.0,-527.0075678825378
112.0,-518.9040318131447
113.0,-538.6149197816849
114.0,-541.8230772018433
115.0,-534.6175193786621
116.0,-558.7975442409515
117.0,-513.8432547450066
118.0,-535.2330982685089
119.0,35.0
120.0,-532.0488929748535
121.0,30.0
122.0,-527.4255782365799
123.0,-519.5344164967537
124.0,-528.7196129560471
125.0,-529.767695069313
126.0,-552.6932835578918
127.0,-520.0425013899803
128.0,-518.5089483857155
129.0,-508.0933131277561
130.0,-504.9785450100899
131.0,-522.9758158326149
132.0,-530.0991147756577
133.0,-514.7343158721924
134.0,-529.4665813446045
135.0,-510.15167757868767
136.0,-526.4498502016068
137.0,-533.3022743463516
138.0,-517.0113295316696
139.0,-544.519168138504
140.0,-518.7819987535477
141.0,-515.1647955179214
142.0,-525.4948377609253
143.0,-506.71684071421623
144.0,-519.4792538881302
145.0,-512.2198633849621
146.0,-533.8646948337555
147.0,-520.6024870276451
148.0,-518.0886715650558
149.0,-540.2114689350128
150.0,-519.4848775863647
151.0,-514.4185662269592
152.0,-518.2809427380562
153.0,-506.1775751411915
154.0,-543.779668211937
155.0,-522.7805733680725
156.0,-517.5042048096657
157.0,-520.9352910518646
158.0,-513.1163418292999
159.0,-514.4663244485855
160.0,-537.8492891788483
161.0,-518.8284367322922
162.0,-526.0520249605179
163.0,-518.256901204586
164.0,-527.3269295692444
165.0,-510.1562075316906
166.0,-521.1365550756454
167.0,-510.0805267691612
168.0,-526.576766371727
169.0,-529.5633494853973
170.0,-516.6497349739075
171.0,-515.482696890831
172.0,-514.349927008152
173.0,14.0
174.0,-523.2100680470467
175.0,-514.2488867044449
176.0,-512.4278254806995
177.0,-517.6827162504196
178.0,-521.1290717124939
179.0,-553.4227073192596
180.0,-514.847457408905
181.0,-522.930046916008
182.0,-508.28827470541
183.0,-509.70870554447174
184.0,-509.1244734823704
185.0,-516.7915001511574
186.0,-526.250496506691
187.0,-511.4292487502098
188.0,-507.3469363152981
189.0,-517.0860111713409
190.0,-515.5002608895302
191.0,-515.0626689195633
192.0,-506.63564801216125
193.0,-517.5015792250633
194.0,-90.0
195.0,10.0
196.0,-512.936282157898
197.0,-510.8962155878544
198.0,-552.5523245334625
199.0,-297.0
200.0,-98.0
201.0,-508.6182542145252
202.0,-514.0399247407913
203.0,-516.0850360989571
204.0,-26.0
205.0,-524.2510199546814
206.0,-512.3333163559437
207.0,-506.46066665649414
208.0,-511.3290160894394
209.0,-511.2149007618427
210.0,-509.03395488858223
211.0,-505.13352006673813
212.0,28.0
213.0,-524.6693789958954
214.0,-513.2322937250137
215.0,-131.0
216.0,-511.02641448378563
217.0,-522.2149610519409
218.0,-551.616096496582
219.0,-511.17156744003296
220.0,-517.8485482931137
221.0,-508.26744735240936
222.0,-513.5166943073273
223.0,-526.2542575597763
224.0,-512.759219110012
225.0,-508.9976318180561
226.0,-507.9975292086601
227.0,-509.1330625116825
228.0,-520.9557697176933
229.0,-507.1829319000244
230.0,-514.3365263938904
231.0,-507.2205848991871
232.0,-513.1061524152756
233.0,-19.0
234.0,-527.3759126663208
235.0,-536.6408109664917
236.0,-516.6351243853569
237.0,-521.0430681705475
238.0,-42.0
239.0,-508.56881961226463
240.0,-507.48975947499275
241.0,-517.9165244102478
242.0,-540.4661297798157
243.0,-516.173928976059
244.0,-521.4203119277954
245.0,-525.6119668483734
246.0,-370.0
247.0,-54.0
248.0,-519.4628685712814
249.0,-12.0
250.0,-27.0
251.0,-512.1105298399925
252.0,-508.1164188683033
253.0,-517.0181378722191
254.0,-512.8499045968056
255.0,-509.557194262743
