xData,yData
0.0,-367.93972877009816
1.0,-320.40348194698447
2.0,-435.9289363939372
3.0,-504.1221331097638
4.0,-481.4325048029125
5.0,-504.12516748284287
6.0,-467.902423787271
7.0,-454.8238189978502
8.0,-319.9956059805836
9.0,-382.7557662697558
10.0,-437.33286488080773
11.0,-353.0228274145505
12.0,-503.7510129776613
13.0,-459.95471573956826
14.0,-496.2562470006678
15.0,-492.1669974430333
16.0,-373.8134298307271
17.0,-370.9547509587175
18.0,-362.26650099901497
19.0,-490.46296538185345
20.0,-471.42882081756346
21.0,-367.7305168914217
22.0,-357.13782014930484
23.0,-503.85033647141654
24.0,-486.1676450000505
25.0,-411.6221230071212
26.0,-426.0163771918977
27.0,-429.37574756560343
28.0,-285.4194286937156
29.0,-483.4139924853821
30.0,-413.9054926702311
31.0,-426.9537280031624
32.0,-120.09525852427493
33.0,-476.32071579961655
34.0,-503.99900640147143
35.0,-439.6478287179862
36.0,-478.6257358894445
37.0,-503.8283647661769
38.0,-476.8953862431021
39.0,-339.80359336216964
40.0,-482.3561178067421
41.0,-503.68269408759284
42.0,-504.1491718083564
43.0,-462.49099914933254
44.0,-363.889076224429
45.0,-383.8243999316916
46.0,-501.8237297957689
47.0,-504.3605835357937
48.0,-503.7527278528063
49.0,-467.66729318094343
50.0,-471.5213452104891
51.0,-503.8146187297624
52.0,-503.1406222352024
53.0,-359.56808627623604
54.0,-504.32630200103546
55.0,-504.3424302196427
56.0,-503.6268436131919
57.0,-503.9834307371623
58.0,-504.4575772534763
59.0,-503.8948159566047
60.0,-503.6029531096457
61.0,-503.7165552392782
62.0,-503.7030923405849
63.0,-503.5123368616525
64.0,-503.4178579011187
65.0,-504.21159911561756
66.0,-503.28403460277445
67.0,-503.465334502062
68.0,-504.18110368377245
69.0,-504.51896799376857
70.0,-503.3711672360455
71.0,-503.1725014301815
72.0,-503.6893886940105
73.0,-503.5255093916977
74.0,-462.5235803892428
75.0,-246.34575743919459
76.0,-424.7878330696882
77.0,-276.11775123948007
78.0,-503.21901081464375
79.0,-503.4484824711474
80.0,-354.86639566070863
81.0,-494.7820632497303
82.0,-274.75421425581027
83.0,-234.08221381994446
84.0,-375.1843976731624
85.0,-19.968541448611916
86.0,-222.16656571522765
87.0,-154.71370118710982
88.0,-11.300624567412559
89.0,-399.8427188648338
90.0,-290.7232640258408
91.0,114.69351670849142
92.0,-156.17748324844956
93.0,-416.7771351343207
94.0,-384.5936896270482
95.0,-48.38992968192356
96.0,-428.1415782547906
97.0,-213.59006669023552
98.0,-297.3180906131102
99.0,-288.66924685677503
100.0,-73.50684259021754
101.0,-24.45306936428946
102.0,-235.46926319176976
103.0,-323.100022798527
104.0,-224.18503461576853
105.0,-413.6883717799736
106.0,-337.8646622600929
107.0,117.74693085561763
108.0,-51.6825393164316
109.0,-209.07731503427507
110.0,-384.7951970896282
111.0,-331.08965756990006
112.0,-435.89441343243584
113.0,-329.931787625591
114.0,-179.6450386258066
115.0,-330.80628099586227
116.0,-311.84059231519143
117.0,113.54190007240025
118.0,-168.8305768071333
119.0,-387.2299721653924
120.0,115.5121574313686
121.0,-330.3467433360415
122.0,-319.2597686657374
123.0,-108.9329473949839
124.0,-256.82521315094635
125.0,113.5028187623879
126.0,-202.63242989807208
127.0,116.85832185389879
128.0,-397.14339402754126
129.0,5.145129241422552
130.0,-47.73286830378561
131.0,-311.7990020070676
132.0,-393.6028119307084
133.0,-339.75277349138713
134.0,-35.80744192768951
135.0,-303.58941014070206
136.0,-332.28811469971896
137.0,115.00467962191033
138.0,-180.27518011025927
139.0,-281.3227209085026
140.0,114.2541421874116
141.0,112.92204073311699
142.0,-191.95603182044584
143.0,-13.365709628023906
144.0,-63.072545899377445
145.0,-6.929007484367039
146.0,-152.21507825284957
147.0,-272.4234676465628
148.0,-18.33800577323197
149.0,-66.94712555949394
150.0,-312.26961700430513
151.0,-198.04938469238684
152.0,-263.89542957083216
153.0,115.49350064961128
154.0,-152.48110918533672
155.0,116.49041985546967
156.0,-266.5796097352662
157.0,-338.41889342644555
158.0,-7.528616751300367
159.0,-15.542399958117688
160.0,-23.651534266501887
161.0,-4.317023359656536
162.0,-366.5712574371135
163.0,-19.237664504722606
164.0,113.79676490155673
165.0,114.84585624925754
166.0,8.88544692241237
167.0,-429.2487728919526
168.0,-0.08161853673076713
169.0,113.98053038243327
170.0,-262.9043924114497
171.0,-399.7977318837716
172.0,-158.6804957764797
173.0,-266.9688004790969
174.0,-266.23722698968305
175.0,-10.325437580618368
176.0,-136.73116554997745
177.0,-9.915515333753644
178.0,-382.2942672238601
179.0,113.17138468771861
180.0,-291.8376916731146
181.0,-385.89027249867223
182.0,-378.3032920502982
183.0,9.09792560358273
184.0,-106.1447286628446
185.0,-24.49140108273165
186.0,-400.5891480907365
187.0,-23.693770203416292
188.0,116.8448784394945
189.0,-163.97930629700554
190.0,-135.4341868290374
191.0,111.5231910297241
192.0,-11.345808697886834
193.0,-338.0577567688568
194.0,-409.70458542624385
195.0,113.25829534245315
196.0,-264.15146712200965
197.0,-146.3259800495653
198.0,-347.28002879563826
199.0,113.57418879966161
200.0,-27.925167814240737
201.0,-42.550961471407724
202.0,-430.4437069230608
203.0,-37.67171470501559
204.0,-337.2220504425705
205.0,-119.21615486128287
206.0,-182.27695637947235
207.0,-315.261907331443
208.0,-13.252081242869355
209.0,-92.41814017713918
210.0,-31.69548082489167
211.0,-42.85697106906753
212.0,-7.84050984526696
213.0,-308.7570418506108
214.0,-454.9379698136539
215.0,-34.81765958565454
216.0,-8.285790678573235
217.0,-318.6875123142149
218.0,-323.23428435315
219.0,-1.02144540940344
220.0,-50.956486013512176
221.0,-9.987229528791227
222.0,-28.96414838814575
223.0,114.63566614476377
224.0,-233.98624280155053
225.0,-8.000623702496245
226.0,-294.2513594820311
227.0,-14.902291937490478
228.0,-260.22946299148083
229.0,114.17674218977483
230.0,113.65058924738368
231.0,-355.53190738400724
232.0,-17.374506107071525
233.0,-46.50864126771462
234.0,-228.78998115443724
235.0,112.96934462297146
236.0,-325.75672575072207
237.0,-26.608095617557957
238.0,-3.7632361907166025
239.0,-258.7817114136419
240.0,-120.66707589213033
241.0,-311.31530595621786
242.0,-15.059250524310654
243.0,-47.15708382673018
244.0,-45.917507788939524
245.0,-458.1345782181709
246.0,-2.6731221749889302
247.0,117.75093701645436
248.0,-278.99715385442136
249.0,-7.497401320491574
250.0,-25.151149000158256
251.0,116.14746266761662
252.0,-7.687392557289577
253.0,-402.0484038385128
254.0,-18.008414239051582
255.0,3.4010747589284325
256.0,-226.47735226834115
257.0,-22.94800547772605
258.0,-14.034578862681755
259.0,-370.5813355990426
260.0,-2.2709242024088665
261.0,-9.872238817034319
262.0,-263.5215184597032
263.0,-17.126121097480283
264.0,-29.69823050729946
265.0,-13.907405682032215
266.0,-20.569198258751
267.0,-19.168858603445422
268.0,-163.75257817371477
269.0,-4.305515829950125
270.0,-286.4588212684411
271.0,-17.18334588310413
272.0,-353.98255985605994
273.0,-14.37919063569437
274.0,-346.64041747392105
275.0,114.33244423511078
276.0,-371.51768969351457
277.0,-28.09692755703697
278.0,-33.423900228122434
279.0,-19.62272713582131
280.0,113.17675167964028
281.0,-13.388807283915517
282.0,-445.9044557976829
283.0,-1.688766179468887
284.0,116.38866548044749
285.0,-22.40727541321344
286.0,-339.5278930588493
287.0,-305.4483136573609
288.0,114.3071944624246
289.0,-5.2301036847069415
290.0,-231.02730626694776
291.0,-176.96378306581977
292.0,-324.8919731253406
293.0,-357.59543653285573
294.0,-498.735549759079
295.0,-11.139165467890585
296.0,-347.84682516948726
297.0,1.4723150505533198
298.0,-145.81350251643795
299.0,-231.6705019727701
300.0,-6.625804478840153
301.0,-317.3487918149932
302.0,-6.81414081205664
303.0,-391.6376485261859
304.0,-14.430021969017403
305.0,-295.1788379230291
306.0,-14.865179518942533
307.0,-18.31729063694982
308.0,113.77627623767708
309.0,116.81979255955015
310.0,113.04162810808666
311.0,-397.66036407068475
312.0,-16.352412222403885
313.0,-144.40573368203434
314.0,-309.2567518108226
315.0,-29.79134511378614
316.0,-1.1526151714612602
317.0,0.9642037387587559
318.0,-396.29495691760366
319.0,-454.6810678600316
320.0,-243.9178588976899
321.0,-380.3571191112982
322.0,-401.5658898752232
323.0,-1.2375887899963507
324.0,113.26150988730022
325.0,114.34554396081492
326.0,-8.984940451845503
327.0,-232.49323880769558
328.0,111.97677943132773
329.0,-286.4510306215581
330.0,113.69131669772831
331.0,-5.846487686918806
332.0,-0.5465610602720314
333.0,115.03718319656112
334.0,-275.24971787808965
335.0,72.97880396629367
336.0,-217.77247546222608
337.0,115.1386178514065
338.0,-214.51479698651954
339.0,-21.876247202329406
340.0,-347.8603373920913
341.0,-10.1024710134767
342.0,-9.21810514777252
343.0,-2.009450352286957
344.0,-165.633610181964
345.0,-99.93441851512179
346.0,-2.0358030342818
347.0,-479.35413388031674
348.0,-15.833279839105497
349.0,-5.6333892399013425
350.0,-24.620856550559687
351.0,-196.10618886999657
352.0,114.59112451117153
353.0,-22.778762222562293
354.0,81.19785518565784
355.0,-372.3858405778667
356.0,-26.785158469357977
357.0,0.3117642238284928
358.0,-85.16822485206235
359.0,114.53492045342108
360.0,-504.3078056520247
361.0,-170.26736986067522
362.0,-276.3408165426565
363.0,1.033551843340602
364.0,-431.58504495813685
365.0,-366.44042950766254
366.0,-273.3970836268133
367.0,-347.52408044539754
368.0,-410.9351327594851
369.0,-242.79125413111996
370.0,-3.860391988935241
371.0,-126.25836970908159
372.0,-103.93278205413368
373.0,-2.977962838203771
374.0,-290.13980456490026
375.0,115.1330972454901
376.0,-5.775555335982894
377.0,-175.4410381998843
378.0,112.73963211452374
379.0,-17.59809419815823
380.0,-350.4201582532035
381.0,-59.71845515880195
382.0,0.9507046541268585
383.0,-122.37519329684449
384.0,-5.554215513416295
385.0,-14.14219712394669
386.0,-1.9212158288913477
387.0,114.37535778112598
388.0,-389.51995231643207
389.0,-305.0457614882972
390.0,116.84731543181287
391.0,113.74650548232424
392.0,-7.09408985730491
393.0,-15.76495948828057
394.0,39.047243619586304
395.0,-0.19042031192027054
396.0,-6.290155244792268
397.0,-200.45100169102616
398.0,117.04620943669866
399.0,-504.16883359609585
400.0,-5.093529474205026
401.0,-17.07969069965491
402.0,-8.172196418131826
403.0,-5.9880150950728535
404.0,8.230357601467563
405.0,-4.859534430120448
406.0,-503.70421956141405
407.0,111.05386614184762
408.0,-11.017823942507434
409.0,4.50495680000579
410.0,-7.0865570906447495
411.0,-5.518601207705686
412.0,89.28671011309625
413.0,-35.050194553058915
414.0,4.206171087001456
415.0,114.50247469837518
416.0,-14.655339057956905
417.0,-252.63181271698568
418.0,-371.31635685521917
419.0,-365.9996536573415
420.0,-19.95451215966972
421.0,-1.3092742542913554
422.0,12.819396616310812
423.0,0.502881578433386
424.0,-358.23050159042515
425.0,-106.10869844803433
426.0,113.25234172227697
427.0,-441.2614651140124
428.0,88.6891055790812
429.0,-101.63763342368031
430.0,4.161450245289954
431.0,-286.60175532368135
432.0,111.2438873479055
433.0,115.5850019752969
434.0,-268.5248430241957
435.0,114.60757598301123
436.0,-16.801863149329243
437.0,109.62550764251336
438.0,-246.68755885122977
439.0,116.16475936672033
440.0,-218.35727894317642
441.0,-296.54604773213583
442.0,113.02930148686464
443.0,-117.04838997347288
444.0,-9.923565049378052
445.0,-160.58350912478778
446.0,0.5899835520433072
447.0,-4.830292920665724
448.0,114.86605849550223
449.0,117.90039550857182
450.0,-9.035101297602537
451.0,-12.655812335878185
452.0,114.83405098119067
453.0,-0.021675068381052043
454.0,-3.929096966518493
455.0,114.09653147280542
456.0,41.49940772693205
457.0,116.18281231984486
458.0,-15.957691587624268
459.0,-9.61743193789314
460.0,93.90608105199985
461.0,-34.18357143792597
462.0,-373.00820498656145
463.0,-469.5631414184257
464.0,115.78172567873183
465.0,-139.30808636751436
466.0,-8.19957799736185
467.0,3.776564582260823
468.0,-1.7930425851273117
469.0,115.5622234928943
470.0,-9.747086836775969
471.0,84.6213959444286
472.0,8.453423370401724
473.0,112.12364979415224
474.0,113.75938171890883
475.0,-349.16947517110594
476.0,-5.537514833046229
477.0,-380.5281038797749
478.0,-8.76546794785775
479.0,-147.16555508122502
480.0,3.7369203591732383
481.0,-15.90681258565861
482.0,1.0979346179467484
483.0,-494.43593393646546
484.0,0.39503567601721556
485.0,116.93839365020914
486.0,-170.7391060106461
487.0,-36.94792897832567
488.0,112.47417866606574
489.0,-292.87880866755336
490.0,-10.880133453829801
491.0,-5.997561771837441
492.0,114.94493663656047
493.0,-236.7682318945553
494.0,112.57543908262761
495.0,-0.4170359044866796
496.0,-263.4294279750573
497.0,-31.400926923769106
498.0,116.42422704851751
499.0,30.461701233348094
500.0,-5.1305496143775695
501.0,-268.340135607479
502.0,-167.79283502323545
503.0,-338.1008029783392
504.0,-445.6231191222928
505.0,-0.20705330314117854
506.0,-277.05616759873203
507.0,114.23070945181419
508.0,112.41087778062652
509.0,-294.1645651726867
510.0,-28.94069571354629
511.0,-21.393567516449153
512.0,113.89825090038482
513.0,109.69307077240606
514.0,-8.601651081254326
515.0,116.4415379814756
516.0,-24.468173086305082
517.0,-286.4064517143213
518.0,-279.3662905360175
519.0,-65.41086914742414
520.0,113.05576474431376
521.0,118.11992344545811
522.0,-319.45085665804675
523.0,-76.68737596490591
524.0,-90.42020980378624
525.0,-13.375548024568683
526.0,-46.53380226391799
527.0,113.21520780959474
528.0,105.79036767930734
529.0,114.19767215825821
530.0,114.31043006977377
531.0,111.19462334652889
532.0,-421.48419065197754
533.0,6.540090005169898
534.0,112.5898713649149
535.0,-291.11664912238655
536.0,70.342194310503
537.0,-485.9394382985801
538.0,-4.298487644890623
539.0,113.01817575168266
540.0,73.7558995205536
541.0,115.34088116829962
542.0,-207.88765886061876
543.0,113.81992668669507
544.0,112.24322599694109
545.0,-495.12115936147825
546.0,-461.33088875194636
547.0,112.9134166418545
548.0,-374.5067964836049
549.0,-357.47988841595327
550.0,86.22078800165276
551.0,-112.96783629803994
552.0,-318.78451785238815
553.0,-178.89937508853524
554.0,113.56408015556013
555.0,72.14139913897071
556.0,-59.170701111607606
557.0,116.26506765999561
558.0,113.68693626438314
559.0,-0.3590884930104279
560.0,109.12533576734802
561.0,-197.24028992961217
562.0,-130.18234434858584
563.0,115.73060329997004
564.0,116.25859102861934
565.0,115.38787897526846
566.0,27.52599921706569
567.0,94.3740807186902
568.0,-2.3682070755129523
569.0,115.289930443288
570.0,113.31122784124965
571.0,-361.9182551829806
572.0,-81.53992773506309
573.0,116.10114000756792
574.0,-5.877706776514283
575.0,-333.4714040421703
576.0,-247.26050238531298
577.0,-35.74873683499078
578.0,117.57260835453393
579.0,112.11365580097336
580.0,114.24925508088266
581.0,-57.809152832779716
582.0,114.7853518551654
583.0,-365.11727507556014
584.0,-6.3733299833408115
585.0,-103.51276688089553
586.0,115.82069075179004
587.0,-48.45443985557306
588.0,113.09493562878315
589.0,-9.736539701100455
590.0,-7.069964975510494
591.0,-358.9178897997882
592.0,115.32172432106655
593.0,115.04351242932304
594.0,3.588289394980711
595.0,107.09282933798812
596.0,94.92169449930026
597.0,118.42688288261422
598.0,-171.41128971418513
599.0,117.41667728386628
600.0,71.95510525301515
601.0,114.96365739001615
602.0,-286.38774896971546
603.0,112.22299130485945
604.0,-241.25309955466645
605.0,-186.89375455586853
606.0,-147.65364674973094
607.0,5.06540365747796
608.0,114.89061646586056
609.0,-366.2583256444816
610.0,-165.90073216939226
611.0,115.70958611707282
612.0,-381.2306797083063
613.0,114.93634791557062
614.0,-331.97132023987155
615.0,116.21820118996749
616.0,-166.36376521367606
617.0,-241.51319047388012
618.0,112.92083324309063
619.0,116.0361197836442
620.0,115.07531694421957
621.0,114.79134882904442
622.0,114.1769499159365
623.0,-244.23083258160415
624.0,113.77760632355857
625.0,3.4804667676318104
626.0,-401.70974004855617
627.0,114.45773887782944
628.0,113.06620222282703
629.0,113.13006654669057
630.0,113.0554027410138
631.0,114.63873461880304
632.0,-101.67080638244704
633.0,114.92067891903167
634.0,114.80042125555907
635.0,112.35966511874587
636.0,115.88387970145318
637.0,0.8173225690001074
638.0,115.2037588995681
639.0,92.7718298030839
640.0,-1.4915038615503562
641.0,-491.7274891903675
642.0,114.41239903454135
643.0,115.8445709768654
644.0,42.111984085760795
645.0,114.31131110224044
646.0,113.52484822853913
647.0,114.11076920117299
648.0,115.73772037878426
649.0,112.10956247495292
650.0,-382.53778203540196
651.0,112.53431878283067
652.0,117.25489863099486
653.0,116.42809733201834
654.0,-344.1176954014772
655.0,113.26824894811811
656.0,34.71216303446913
657.0,-85.07651058497251
658.0,84.60222062674876
659.0,110.54724571953848
660.0,116.1404387849258
661.0,-274.50957253116354
662.0,-332.1826104824953
663.0,113.41553175557465
664.0,114.48131207389957
665.0,3.6677008043518384
666.0,-175.4720544943589
667.0,113.06950885876869
668.0,115.88750271024719
669.0,116.16389233808242
670.0,117.42148232463487
671.0,115.03506544375139
672.0,116.0855886038641
673.0,3.954084189853793
674.0,117.4000380497539
675.0,115.1406987830741
676.0,117.51505325557045
677.0,115.83716481770377
678.0,112.89788187174744
679.0,-8.1886254393231
680.0,113.79113699423334
681.0,118.53356707376197
682.0,112.21513677829012
683.0,114.3546531344288
684.0,-163.5794132715294
685.0,115.55718423012114
686.0,-317.6596272095266
687.0,115.2584699710331
688.0,115.49616871398052
689.0,115.62137222662042
690.0,112.88535019568462
691.0,115.60570017087946
692.0,114.35530929072362
693.0,113.71816790174063
694.0,114.67293374475976
695.0,113.22632674902846
696.0,113.53885471447157
697.0,-400.51163652006187
698.0,115.62442067419651
699.0,115.58430350669384
700.0,117.27445632891099
701.0,115.25591932778237
702.0,114.5449715442043
703.0,113.86434506636158
704.0,114.65032744250804
705.0,113.92179460629045
706.0,116.52660697080869
707.0,117.71784889666112
708.0,118.71453239441841
709.0,115.20610927417657
710.0,117.37175095832198
711.0,115.22843648337634
712.0,114.6654229567653
713.0,113.98670962395768
714.0,114.24230252436202
715.0,73.23091754563693
716.0,115.3788355729965
717.0,-259.4705009384154
718.0,114.47909886280345
719.0,-247.35007729076517
720.0,114.10902332749865
721.0,112.20164926488447
722.0,115.53851296317545
723.0,112.90782629135336
724.0,116.11481699326164
725.0,-315.18455167851437
726.0,113.19561168392573
727.0,112.93425649925568
728.0,-327.667930516001
729.0,115.43191990115464
730.0,117.02476990956332
731.0,115.03141563576325
732.0,117.24909414744509
733.0,114.25350142168261
734.0,116.55160483163367
735.0,113.81844009984752
736.0,-315.13322442927097
737.0,116.5125883484203
738.0,116.25892886887465
739.0,106.78421829088299
740.0,113.94945142999084
741.0,114.5343384229567
742.0,114.31142166792834
743.0,115.54976126444309
744.0,112.65262350162519
745.0,115.84021961745198
746.0,114.32103414141471
747.0,114.75485447805504
748.0,114.37199088035905
749.0,112.49541381267882
750.0,113.47639163562984
751.0,115.13890841963236
752.0,115.94903281311841
753.0,116.20539215153717
754.0,117.35335455602159
755.0,113.27745530924199
756.0,114.06885166052118
757.0,115.81479621716791
758.0,113.01277222029788
759.0,117.23514960395006
760.0,116.78831359937709
761.0,113.99497651977875
762.0,114.5698953015023
763.0,113.31034764867336
764.0,115.77845155569389
765.0,116.48525762197616
766.0,-375.93972078830853
767.0,114.15504339629263
768.0,114.48262081410553
769.0,116.53003317090098
770.0,114.1264902907839
771.0,115.74739456240651
772.0,116.3367316612649
773.0,112.9030366224282
774.0,113.83481946911924
775.0,117.63371662860844
776.0,113.22423271614318
777.0,113.16784903289596
778.0,114.06153361355268
779.0,115.77599073440182
780.0,114.89116901808391
781.0,114.91221053748222
782.0,116.5182083875737
783.0,114.45151741595744
784.0,114.68361393944446
785.0,116.2404269212991
786.0,114.39225533791098
787.0,-393.1308004045201
788.0,115.06994666587751
789.0,115.1680414404889
790.0,-354.5717843825455
791.0,116.90211552487155
792.0,118.2906341607397
793.0,115.40846861117491
794.0,113.39485558716117
795.0,112.07152218881915
796.0,113.48477575471763
797.0,115.21620575645068
798.0,115.58291854195164
799.0,114.65269783018816
800.0,113.20230325737722
801.0,112.34809489655198
802.0,116.95272867896449
803.0,113.32280868453762
804.0,115.2684151134408
805.0,113.07525851809919
806.0,112.98424648397383
807.0,113.07870989252581
808.0,118.18301390256116
809.0,114.98006070396137
810.0,113.16769061745882
811.0,115.87520420201339
812.0,113.31055914491171
813.0,116.05959104904139
814.0,115.00419252644733
815.0,113.91635813496616
816.0,115.03621909342645
817.0,115.6546917823156
818.0,114.04415417005758
819.0,-359.4949207848602
820.0,-294.5880163027068
821.0,115.39235776664799
822.0,116.19422399445757
823.0,113.6280092738882
824.0,114.93119227970786
825.0,117.00470963545341
826.0,112.97345282291354
827.0,118.6363805527343
828.0,117.37977806033443
829.0,115.48101640340771
830.0,113.14785322318116
831.0,115.22678180556676
