xData,yData
0.0,0.0
1.0,0.04
2.0,0.0
3.0,0.04
4.0,0.12
5.0,0.2
6.0,0.24
7.0,0.2
8.0,0.04
9.0,0.16
10.0,0.04
11.0,0.16
12.0,0.16
13.0,0.28
14.0,0.12
15.0,0.28
16.0,0.2
17.0,0.4
18.0,0.4
19.0,0.28
20.0,0.4
21.0,0.52
22.0,0.6
23.0,0.56
24.0,0.52
25.0,0.84
26.0,0.72
27.0,0.84
28.0,0.92
29.0,0.88
30.0,0.96
31.0,0.92
32.0,0.92
33.0,0.92
34.0,0.8
35.0,0.8
36.0,0.84
37.0,0.92
38.0,0.96
39.0,0.96
40.0,0.96
41.0,0.8
42.0,0.88
43.0,1.0
44.0,0.92
45.0,0.8
46.0,0.92
47.0,0.92
48.0,1.0
49.0,0.88
50.0,0.88
51.0,0.92
52.0,0.92
53.0,0.88
54.0,0.96
55.0,0.92
56.0,0.92
57.0,0.96
58.0,0.88
59.0,1.0
60.0,1.0
61.0,0.96
62.0,0.92
63.0,0.96
64.0,0.96
65.0,0.92
66.0,0.92
67.0,0.88
68.0,1.0
69.0,0.96
70.0,0.84
71.0,0.8
72.0,0.92
73.0,0.88
74.0,0.8
75.0,0.88
76.0,0.92
77.0,0.96
78.0,0.92
79.0,0.92
80.0,0.96
81.0,1.0
82.0,0.96
83.0,0.84
84.0,0.92
85.0,1.0
86.0,1.0
87.0,0.88
88.0,0.92
89.0,0.88
90.0,0.96
91.0,0.88
92.0,0.92
93.0,1.0
94.0,0.96
95.0,0.88
96.0,1.0
97.0,0.88
98.0,0.96
99.0,0.92
100.0,0.92
101.0,0.96
102.0,1.0
103.0,0.92
104.0,0.92
105.0,1.0
106.0,1.0
107.0,0.88
108.0,1.0
109.0,0.96
110.0,1.0
111.0,0.92
112.0,0.96
113.0,1.0
114.0,0.96
115.0,0.88
116.0,0.96
117.0,1.0
118.0,0.92
119.0,0.96
120.0,0.92
121.0,0.96
122.0,0.92
123.0,0.88
124.0,1.0
125.0,0.92
126.0,0.92
127.0,0.92
128.0,0.88
129.0,1.0
130.0,0.88
131.0,1.0
132.0,0.88
133.0,0.96
134.0,0.92
135.0,0.88
136.0,0.92
137.0,0.88
138.0,0.96
139.0,0.8
140.0,1.0
141.0,0.92
142.0,0.92
143.0,0.96
144.0,0.96
145.0,0.96
146.0,0.88
147.0,0.88
148.0,1.0
149.0,0.92
150.0,0.84
151.0,0.88
152.0,0.84
153.0,0.96
154.0,0.92
155.0,1.0
156.0,0.96
157.0,0.96
158.0,0.96
159.0,0.92
160.0,0.96
161.0,0.92
162.0,0.96
163.0,0.88
164.0,0.96
165.0,0.96
166.0,0.8
167.0,1.0
168.0,0.88
169.0,0.92
170.0,0.92
171.0,0.88
172.0,0.92
173.0,0.88
174.0,0.92
175.0,0.92
176.0,0.92
177.0,1.0
178.0,0.88
179.0,0.96
180.0,0.96
181.0,0.96
182.0,0.96
183.0,0.8
184.0,0.92
185.0,1.0
186.0,0.92
187.0,0.88
188.0,0.84
189.0,0.96
190.0,0.84
191.0,0.92
192.0,1.0
193.0,0.92
194.0,0.8
195.0,0.96
196.0,0.96
197.0,0.84
198.0,0.84
199.0,0.96
